               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.034568,            0.022532,            0.006784,             0.96079,             0.96714,             0.97349,             0.52842,            0.031783,            0.021527,            0.001786,            0.070006,           0.0033327,           0.0033327
                   1,            0.035313,            0.022531,           0.0071075,             0.95742,             0.96273,             0.97149,             0.52102,            0.032118,            0.021698,           0.0020283,            0.039566,            0.006226,            0.006226
                   2,            0.036712,            0.023206,           0.0088114,             0.94154,             0.94371,             0.96001,             0.50264,            0.033098,            0.022177,           0.0033306,           0.0086861,           0.0086794,           0.0086794
                   3,            0.037458,             0.02343,            0.010596,             0.94313,             0.94504,             0.95955,             0.50136,            0.033062,            0.022212,           0.0032749,             0.00802,             0.00802,             0.00802
                   4,            0.037454,            0.023457,             0.01038,             0.94496,             0.94593,             0.96205,             0.50359,            0.032983,            0.022133,           0.0032944,             0.00802,             0.00802,             0.00802
                   5,            0.037145,            0.023456,           0.0098644,             0.94774,              0.9531,             0.96333,             0.50741,            0.032777,            0.022028,            0.002917,             0.00736,             0.00736,             0.00736
                   6,            0.036926,            0.023324,            0.009538,              0.9505,             0.95579,             0.96574,             0.50929,            0.032679,            0.021971,           0.0027057,              0.0067,              0.0067,              0.0067
                   7,            0.036573,            0.023216,           0.0091644,             0.95184,             0.95738,             0.96761,              0.5135,            0.032458,            0.021896,           0.0024718,             0.00604,             0.00604,             0.00604
                   8,            0.036424,            0.023096,            0.008905,             0.95471,             0.96161,             0.96878,             0.51678,            0.032271,            0.021805,           0.0022928,             0.00538,             0.00538,             0.00538
                   9,            0.036143,            0.022941,           0.0084774,             0.95634,             0.96349,             0.96984,             0.52092,            0.032061,            0.021735,           0.0021441,             0.00472,             0.00472,             0.00472
                  10,            0.035891,            0.022885,           0.0080533,              0.9581,             0.96662,             0.97112,             0.52452,            0.031814,            0.021657,           0.0019706,             0.00406,             0.00406,             0.00406
                  11,            0.035477,            0.022845,           0.0077636,             0.95941,             0.96943,             0.97297,             0.52917,            0.031611,            0.021583,           0.0017923,              0.0034,              0.0034,              0.0034
                  12,            0.035366,            0.022774,           0.0075618,             0.96131,             0.97016,             0.97449,             0.53277,            0.031369,            0.021506,           0.0017188,             0.00274,             0.00274,             0.00274
                  13,            0.034812,            0.022614,           0.0070972,             0.96301,             0.97211,             0.97592,             0.53656,            0.031117,            0.021423,           0.0015979,             0.00208,             0.00208,             0.00208
                  14,            0.034456,            0.022502,           0.0068966,              0.9647,             0.97297,             0.97688,             0.54093,            0.030888,            0.021353,           0.0015343,             0.00142,             0.00142,             0.00142
